Встроенная память (ROM);Объем памяти (Гб);int
Адаптер на SD;Адаптер на SD;str
Вес;Вес;str
Водоустойчивый корпус;Водоустойчивый корпус;str
Выдвижной разъем USB;Выдвижной разъем USB;str
Выдвижной язычок защиты;Выдвижной язычок защиты;str
Высота;Высота;str
Глубина;Глубина;str
Длина;Длина;str
Индикация записи;Индикация записи;str
Индикация чтения;Индикация чтения;str
Интерфейс подключения;Интерфейс подключения;str
Тип штекера;Интерфейс подключения;str
Интерфейс связи с ПК;Интерфейс подключения;str
Интерфейс шины данных;Интерфейс шины данных;str
Кардридер в комплекте;Кардридер в комплекте;str
Класс карты памяти;Класс карты памяти;int
Количество разъемов Lightning;Количество разъемов Lightning;int
Максимальная скорость записи до;Максимальная скорость записи до;int
Максимальная скорость передачи данных;Максимальная скорость передачи данных;str
Максимальная скорость чтения до;Максимальная скорость чтения до;int
Объем карты памяти;Объем памяти (Гб);int
Поддержка Wi-Fi;Поддержка Wi-Fi;str
Серия;Серия;str
Страна;Страна;str
Тип карты памяти;Тип карты памяти;str
Цвет;Цвет;str
Ширина;Ширина;str
