Страна;Страна;str
Автоматический поиск зарядного устройства;Автоматический поиск зарядного устройства;str
Автоматическое включение;Автоматическое включение;str
Автоматическое выключение;Автоматическое выключение;str
Автоматическое определение пользователя по весу;Автоматическое определение пользователя по весу;str
Батареи;Батареи;str
Батареи в комплекте;Батареи в комплекте;str
Батареи пульта ДУ;Батареи пульта ДУ;str
Боковая щеточка;Боковая щеточка;str
Ввод данных о человеке;Ввод данных о человеке;str
Вес;Вес;str
Влажная уборка;Влажная уборка;str
Возобновление уборки с прерванного участка;Возобновление уборки с прерванного участка;str
Время зарядки аккумулятора;Время зарядки аккумулятора;str
Вставки против скольжения;Вставки против скольжения;str
Встроенный модуль Bluetooth;Встроенный модуль Bluetooth;int
Встроенный модуль Wi-Fi;Встроенный модуль Wi-Fi;str
Высота;Высота;int
Высота;Высота;str
Вычисление индекса массы тела BMI;Вычисление индекса массы тела BMI;str
Габаритные размеры (В*Ш*Г);Габаритные размеры (В*Ш*Г);str
Глубина;Глубина;int
Голосовые оповещения;Голосовые оповещения;str
Датчик определения ступенек;Датчик определения ступенек;str
Диск терка/шинковка;Диск терка/шинковка;int
Емкость аккумулятора;Емкость аккумулятора;int
Емкость контейнера базовой станции;Емкость контейнера базовой станции;str
Зарядка от сети 220 В;Зарядка от сети 220 В;str
Зарядное устройство;Зарядное устройство;str
Звуковой сигнал;Звуковой сигнал;str
Измерение количества килокалорий;Измерение количества килокалорий;str
Измерение костной массы;Измерение костной массы;str
Измерение метаболического возраста;Измерение метаболического возраста;str
Измерение мышечной массы;Измерение мышечной массы;str
Измерение объема;Измерение объема;str
Измерение по 4 датчикам;Измерение по 4 датчикам;str
Измерение скорости обмена веществ;Измерение скорости обмена веществ;str
Измерение уровня висцерального жира;Измерение уровня висцерального жира;str
Измерение уровня воды в организме;Измерение уровня воды в организме;str
Измерение уровня подкожного жира;Измерение уровня подкожного жира;str
Индикатор уровня зарядки;Индикатор уровня зарядки;str
Индикация включения;Индикация включения;str
Индикация застревания;Индикация застревания;str
Индикация перегрузки;Индикация перегрузки;str
Индикация разрядки батарей;Индикация разрядки батарей;str
Индикация режима работы;Индикация режима работы;str
Индикация степени зарядки;Индикация степени зарядки;str
Кожух для защиты от брызг;Кожух для защиты от брызг;str
Количество насадок;Количество насадок;int
Количество режимов работы;Количество режимов работы;int
Количество скоростей;Количество скоростей;int
Количество цифровых дисплеев;Количество цифровых дисплеев;int
Крышка-лоток;Крышка-лоток;str
Максимальный вес;Максимальный вес;int
Максимальный уровень шума;Максимальный уровень шума;int
Материал;Материал;str
Материал корпуса;Материал корпуса;str
Материал лотка;Материал лотка;str
Материал ножа;Материал ножа;str
Материал платформы;Материал платформы;str
Материал ручки;Материал ручки;str
Материал чаши;Материал чаши;str
Материал шнека;Материал шнека;str
Минимальный вес;Минимальный вес;str
Мобильное приложение;Мобильное приложение;str
Модель;Модель;str
Монитор сердечного ритма;Монитор сердечного ритма;str
Моторный фильтр;Моторный фильтр;str
Мощность при блокировке мотора;Мощность при блокировке мотора;int
Мягкий бампер;Мягкий бампер;str
Нарезка (барабан);Нарезка (барабан);int
Насадка для нарезки кубиками;Насадка для нарезки кубиками;int
Насадка для приготовления колбасы;Насадка для приготовления колбасы;str
Насадка для приготовления сосисок;Насадка для приготовления сосисок;str
Насадка из микрофибры;Насадка из микрофибры;str
Насадка кеббе;Насадка кеббе;str
Насадка-овощерезка;Насадка-овощерезка;str
Насадка-соковыжималка;Насадка-соковыжималка;str
Номинальная мощность;Номинальная мощность;int
Объем контейнера для пыли;Объем контейнера для пыли;int
Объем пылесборника;Объем пылесборника;int
Объем резервуара для воды;Объем резервуара для воды;str
Объем чаши;Объем чаши;str
Определение типа телосложения;Определение типа телосложения;str
Остановка при попадании твёрдых частиц;Остановка при попадании твёрдых частиц;str
Отключение при перегреве;Отключение при перегреве;str
Отложенный старт;Отложенный старт;str
Отсек для насадок;Отсек для насадок;str
Память измерения веса;Память измерения веса;str
Память предыдущего взвешивания;Память предыдущего взвешивания;str
Перевод граммов в унции;Перевод граммов в унции;str
Петля для подвешивания;Петля для подвешивания;str
Площадка для насадки из микрофибры;Площадка для насадки из микрофибры;str
Погрешность;Погрешность;int
Поддержка Wi-Fi;Поддержка Wi-Fi;str
Поддержка ОС;Поддержка ОС;str
Подсветка платформы;Подсветка платформы;str
Подставка-зарядное ус-во;Подставка-зарядное ус-во;str
Полностью автоматическая уборка;Полностью автоматическая уборка;str
Полностью разборная камера подачи мяса;Полностью разборная камера подачи мяса;str
Последовательное взвешивание;Последовательное взвешивание;str
Пресс для цитрусовых;Пресс для цитрусовых;str
Производительность мясорубки;Производительность мясорубки;str
Прорезиненные ножки;Прорезиненные ножки;str
Пульт ДУ;Пульт ДУ;str
Работа от аккумулятора;Работа от аккумулятора;str
Расчет ежедневной нормы калорий;Расчет ежедневной нормы калорий;str
Реверс;Реверс;str
"Режим ""уборка вдоль стены""";"Режим ""уборка вдоль стены""";str
"Режим ""уборка зигзагом""";"Режим ""уборка зигзагом""";str
"Режим ""уборка по спирали""";"Режим ""уборка по спирали""";str
Режим ''быстрая уборка'';Режим ''быстрая уборка'';str
Режим ''местная уборка '';Режим ''местная уборка '';str
Режим ''обычная уборка'';Режим ''обычная уборка'';str
Режим ''пятно'';Режим ''пятно'';str
Ручка для перемещения;Ручка для перемещения;str
Самодиагностика неисправностей;Самодиагностика неисправностей;str
Сброс веса тары;Сброс веса тары;str
Сенсорная панель управления;Сенсорная панель управления;str
Сенсорное управление;Сенсорное управление;str
Сенсорный экран;Сенсорный экран;str
Серия;Серия;str
Синхронизация с iPhone/iPad;Синхронизация с iPhone/iPad;str
Смарт-анализатор тела;Смарт-анализатор тела;str
Смартфон в качестве пульта ДУ;Смартфон в качестве пульта ДУ;str
Совместимость;Совместимость;str
Составление плана помещения;Составление плана помещения;str
Срок службы;Срок службы;str
Сухая уборка;Сухая уборка;str
Съемная чаша;Съемная чаша;str
Съемный нож;Съемный нож;str
Съемный резервуар д/воды;Съемный резервуар д/воды;str
Съемный резервуар для чистящего средства;Съемный резервуар для чистящего средства;str
Таймер включения;Таймер включения;str
Таймер на каждый день недели;Таймер на каждый день недели;str
Терка;Терка;int
Тип аккумулятора;Тип аккумулятора;str
Тип батарей пульта ДУ;Тип батарей пульта ДУ;str
Тип весов;Тип весов;str
Тип дисплея;Тип дисплея;str
Тип используемых батарей;Тип используемых батарей;str
Тип пылесборника;Тип пылесборника;str
Тип управления;Тип управления;str
Турборежим;Турборежим;str
Ударопрочный корпус;Ударопрочный корпус;str
Установка на зарядное устройство;Установка на зарядное устройство;str
Фильтр HEPA;Фильтр HEPA;str
Цвет;Цвет;str
Цена деления;Цена деления;int
Циклоническая система;Циклоническая система;str
Шинковка;Шинковка;int
Ширина;Ширина;int
Электронное управление;Электронное управление;str
