Страна;Страна;str
Модель;Модель;str
Максимальная частота кадров камеры заднего вида;Максимальная частота кадров камеры заднего вида;int
Угол обзора (камера заднего вида);Угол обзора (камера заднего вида);int
Тип дисплея;Тип дисплея;str
Качество видеосъемки/ FPS;Качество видеосъемки/ FPS;str
Максимальная частота кадров;Максимальная частота кадров;int
Угол обзора (основная камера);Угол обзора (основная камера);int
Максимальное разрешение камеры заднего вида;Максимальное разрешение камеры заднего вида;str
Режим ночной съемки;Режим ночной съемки;str
Поддержка Wi-Fi;Поддержка Wi-Fi;str
Спутники;Спутники;str
Функции;Функции;str
Датчик удара;Датчик удара;str
Поддержка GPS;Поддержка GPS;str
Интерфейс;Поддержка Wi-Fi;str
Циклическая запись;Циклическая запись;str
Датчик движения;Датчик движения;str
Контроль полосы движения (LDWS);Контроль полосы движения (LDWS);str
Контроль дистанции автомобиля (FCWS);Контроль дистанции автомобиля (FCWS);str
Запись координат съемки;Запись координат съемки;str
Запись скорости движения;Запись скорости движения;str
Тип карты памяти;Тип карты памяти;str
Максимальная емкость карты памяти;Максимальная емкость карты памяти;str
Диагональ дисплея;Диагональ дисплея;str
Разрешение дисплея;Разрешение дисплея;str
Инфракрасная подсветка;Инфракрасная подсветка;str
Подключение камеры заднего вида;Подключение камеры заднего вида;str
Порт USB;Порт USB;str
Разъем под microSD/microSDHC;Разъем под microSD/microSDHC;int
Кабель USB;Кабель USB;str
Камера заднего вида;Камера заднего вида;str
Зарядка от прикуривателя;Зарядка от прикуривателя;str
Емкость аккумулятора;Емкость аккумулятора;int
Питание от прикуривателя;Питание от прикуривателя;str
Питание от прикуривателя (12 В);Питание от прикуривателя;str
Тип аккумулятора;Тип аккумулятора;str
Цвет;Цвет;str
Вес;Вес;int
Высота;Высота;str
Ширина;Ширина;str
Глубина;Глубина;str
Максимальное разрешение фотосъемки;Максимальное разрешение фотосъемки;str
Непрерывная запись;Непрерывная запись;str
Автоматическое включение при подаче питания;Автоматическое включение при подаче питания;str
Автоматическое отключение при отсутствии питания;Автоматическое отключение при отсутствии питания;str
Трансляция видео через Wi-Fi;Трансляция видео через Wi-Fi;str
Интерфейс связи с ПК;Интерфейс связи с ПК;str
Разъем под microSD/microSDHC/microSDXC;Разъем под microSD/microSDHC/microSDXC;int
Кабель для электро прикуривателя;Кабель для электро прикуривателя;str
Режим аварийной записи;Режим аварийной записи;str
Видеорегистратор - зеркало;Видеорегистратор - зеркало;str
Объем карты памяти;Объем карты памяти;str
Вход 3.5 мм видео;Вход 3.5 мм видео;int
Микрофон;Микрофон;str
Интервал записи;Интервал записи;str
Поворотный дисплей;Поворотный дисплей;str
Резервный источник питания;Резервный источник питания;str
Формат записи;Формат записи;str
Технология HDR;Технология HDR;str
Светодиодная подсветка (LED);Светодиодная подсветка (LED);str
Зарядка;Зарядка;str
Сенсорный экран;Сенсорный экран;str
Предупреждение о камерах слежения;Предупреждение о камерах слежения;str
Сигнал Кречет;Сигнал Кречет;str
Сигнал LTI Laser;Сигнал LTI Laser;str
Сигнал LTI Ultra-Lyte;Сигнал LTI Ultra-Lyte;str
Сигнал LTI 20-20;Сигнал LTI 20-20;str
Сигнал Stalker LIDAR;Сигнал Stalker LIDAR;str
Сигнал Kustom Signals ProLaser;Сигнал Kustom Signals ProLaser;str
Сигнал Kustom Signals ProLaser II;Сигнал Kustom Signals ProLaser II;str
Сигнал Kustom Signals ProLaser III;Сигнал Kustom Signals ProLaser III;str
Сигнал Laser Atlanta - SpeedLaser;Сигнал Laser Atlanta - SpeedLaser;str
