Страна;Страна
Модель;Модель
Тип мыши;Тип мыши
Тип беспроводной мыши;Тип беспроводной мыши
Радиус действия;Радиус действия
Оптическое разрешение;Оптическое разрешение
Интерфейс связи с ПК;Интерфейс связи с ПК
Приемный блок в комплекте;Приемный блок в комплекте
Материал корпуса;Материал корпуса
Работа от батареи;Работа от батареи
Тип используемых батарей;Тип используемых батарей
Цвет;Цвет
Вес;Вес
Серия;Серия
Проводная мышь;Проводная мышь
Максимальное допустимое ускорение (g);Максимальное допустимое ускорение (g)
Количество кнопок (мышь);Количество кнопок (мышь)
Возможность изменения оптического разрешения;Возможность изменения оптического разрешения
Скроллер;Скроллер
Цвет подсветки корпуса;Цвет подсветки корпуса
Программируемые кнопки;Программируемые кнопки
Тип управления;Тип управления
Материал ножек;Материал ножек
Длина кабеля;Длина кабеля
Тканевая оплетка кабеля;Тканевая оплетка кабеля
Максимальная частота опроса USB шины;Максимальная частота опроса USB шины
Покрытие разъемов;Покрытие разъемов
Батареи в комплекте;Батареи в комплекте
Скорость перемещения;Скорость перемещения
Количество  операций;Количество  операций
Время отклика;Время отклика
Количество режимов работы;Количество режимов работы
Индикация режима работы;Индикация режима работы
Встроенная память (ROM);Встроенная память (ROM)
Программное обеспечение;Программное обеспечение
Аккумуляторов;Аккумуляторов
Тип аккумулятора;Тип аккумулятора
Хорошо придумано;Хорошо придумано
Канал передачи данных;Канал передачи данных
Пользователи оценят;Пользователи оценят
Силиконовые вставки;Силиконовые вставки
Подсветка кнопок;Подсветка кнопок
Подсветка кнопок управления;Подсветка кнопок управления
Считываний перемещений курсора;Считываний перемещений курсора
Беспроводная мышь;Беспроводная мышь
Время отклика клавиш;Время отклика клавиш
Подсветка корпуса;Подсветка корпуса
Рабочее расстояние;Рабочее расстояние
