Страна;Страна;str
Экран;>=>2<Диагональ>Разрешение экрана;str
Micro-SIM;Micro-SIM;str
Mini-SIM;Mini-SIM;str
Nano-SIM;Nano-SIM;str
Wi-Fi точка доступа;Wi-Fi точка доступа;str
Адаптер Type-C  - 3.5 мм;Адаптер Type-C  - 3.5 мм;str
Акселерометр;Акселерометр;str
Беспроводная зарядка;Беспроводная зарядка;str
Беспроводное перо;Беспроводное перо;str
Блок питания;Блок питания;str
Вес;Вес;int
Время в режиме ожидания;Время в режиме ожидания;int
Время в режиме разговора;Время в режиме разговора;int
Время работы от аккумулятора до;Время работы от аккумулятора до;int
Вспышка;Вспышка;str
Встроенная память (ROM);Встроенная память (Гб);int
Встроенный FM-тюнер;Встроенный FM-тюнер;str
Встроенный микрофон;Встроенный микрофон;str
Встроенный модуль Bluetooth;Встроенный модуль Bluetooth;str
Габаритные размеры (В*Ш*Г);Габаритные размеры (В*Ш*Г);str
Гибридный слот;Гибридный слот;str
Гироскоп;Гироскоп;str
Емкость аккумулятора;Емкость аккумулятора (мАч);int
Интерфейс MHL (HDMI - microUSB);Интерфейс MHL (HDMI - microUSB);str
Кабель USB;Кабель USB;str
Клавиатура док-станция;Клавиатура док-станция;str
SIM карта;Количество SIM карт;int
Количество SIM карт;Количество SIM карт;int
Количество встроенных динамиков;Количество встроенных динамиков;int
Количество встроенных микрофонов;Количество встроенных микрофонов;int
Количество основных камер;Количество основных камер;int
Количество портов USB 3.0 тип C;Количество портов USB 3.0 тип C;int
Количество портов USB 3.1 тип C;Количество портов USB 3.1 тип C;int
Количество сенсорных клавиш;Количество сенсорных клавиш;int
Количество стилусов;Количество стилусов;int
Количество ядер;Количество ядер;int
Максимальная емкость карты памяти;Максимальная емкость карты памяти (Гб);int
Максимальная тактовая частота;Максимальная тактовая частота;str
Материал корпуса;Материал корпуса;str
Модель;Модель;str
Обратная беспроводная зарядка;Обратная беспроводная зарядка;str
Объем eMMC;Объем eMMC;int
Оперативная память (RAM);Оперативная память (Гб);int
Операционная система;Операционная система;str
Основная камера МПикс;Основная камера (МПикс);int
Основная камера 1;Фронтальная камера (Мпикс);int
Основная камера 2;Основная камера (МПикс);int
Поддержка GPS;Поддержка GPS;str
Поддержка USB Host (OTG);Поддержка USB Host (OTG);str
Поддержка Wi-Fi;Поддержка Wi-Fi;str
Поддержка беспроводной зарядки;Поддержка беспроводной зарядки;str
Поддержка стандартов;Поддержка стандартов;str
Подставка для пера;Подставка для пера;str
Порт microUSB 2.0;Порт microUSB 2.0;int
Порт USB 2.0 тип A;Порт USB 2.0 тип A;int
Порт USB-C;Порт USB-C;int
Проводная гарнитура;Проводная гарнитура;str
Производитель процессора;Производитель процессора;str
Разрешение видеосъемки;Разрешение видеосъемки;str
Разъем micro HDMI;Разъем micro HDMI;int
Разъем для наушников/микрофона 3.5мм;Разъем для наушников/микрофона 3.5мм;int
Серия;Серия;str
Сканер отпечатка пальца;Сканер отпечатка пальца;str
Сканер отпечатка пальца на боковой грани;Сканер отпечатка пальца на боковой грани;str
Сканер отпечатка пальца на передней панели;Сканер отпечатка пальца на передней панели;str
Сканер отпечатка пальца под экраном;Сканер отпечатка пальца под экраном;str
Степень защиты;Степень защиты;str
Технология ANT+;Технология ANT+;str
Технология экрана;Технология экрана;str
Тип дисплея;Тип дисплея;str
Тип карты памяти;Тип карты памяти;str
Тип процессора;Тип процессора;str
Фронтальная камера МПикс;Фронтальная камера (Мпикс);str
Цвет;Цвет;str
Цифровой компас;Цифровой компас;str
Частота обновления;Частота обновления;int
Частота процессора;Частота процессора;str
Чехол;Чехол;str
