Страна;Страна;str
Экран;>=>2<Диагональ>Разрешение экрана;str
Разрешение по вертикали;>=>3<Разрешение по горизонтали>Разрешение по вертикали>Разрешение экрана>[{}х{} Пикс];int
Разрешение по горизонтали;>=>3<Разрешение по горизонтали>Разрешение по вертикали>Разрешение экрана>[{}х{} Пикс];int
LAN разъем (RJ45);LAN разъем (RJ45);int
Ultra HD;Ultra HD;str
Аналоговый тюнер PAL/SECAM;Аналоговый тюнер PAL/SECAM;str
Битность матрицы;Битность матрицы;int
Версия HDMI;Версия HDMI;str
Вес;Вес;str
Воспроизведение с USB;Воспроизведение с USB;str
Встроенный модуль Bluetooth;Встроенный модуль Bluetooth;str
Вход 3.5 мм аудио (количество);Вход 3.5 мм аудио (количество);int
Разъем для наушников 3.5 мм;Вход 3.5 мм аудио (количество);int
Вход 3.5 мм аудио/видео;Вход 3.5 мм аудио/видео;int
Вход 3.5 мм компонент.YPbPr;Вход 3.5 мм компонент.YPbPr;int
Вход D-Sub видео;Вход D-Sub видео;int
Вход HDMI;Вход HDMI;int
Вход RCA аудио;Вход RCA аудио;int
Вход RCA аудио/видео;Вход RCA аудио/видео;int
Вход RCA видео композитный;Вход RCA видео композитный;int
Вход RCA компонентный YPbPr;Вход RCA компонентный YPbPr;int
Вход коаксиальный цифровой;Вход коаксиальный цифровой;int
Вход оптический (Toslink);Вход оптический (Toslink);int
Выход 3.5 мм аудио;Выход 3.5 мм аудио;int
Выход 3.5 мм аудио/видео;Выход 3.5 мм аудио/видео;int
Выход RCA аудио;Выход RCA аудио;int
Выход RCA аудио/видео;Выход RCA аудио/видео;int
Выход коаксиальный цифровой;Выход коаксиальный цифровой;int
Выход оптический (Toslink);Выход оптический (Toslink);int
Габаритные размеры (В*Ш*Г);Габаритные размеры (В*Ш*Г);str
Голосовое управление;Голосовое управление;str
Диагональ;Диагональ;int
Диагональ экрана;Диагональ (см);str
Значение интерполяции;Значение интерполяции;int
Количество портов USB 3.0 тип A;Количество портов USB 3.0 тип A;int
Мощность низкочастотных АС;Мощность низкочастотных АС;int
Мощность фронтальных АС;Мощность фронтальных АС;str
Операционная система;Операционная система;str
Поддержка Smart TV;Поддержка Smart TV;str
Поддержка Wi-Fi;Поддержка Wi-Fi;str
Порт USB 2.0 тип A;Порт USB 2.0 тип A;int
Потребляемая мощность;Потребляемая мощность;int
Разъем SCART;Разъем SCART;int
Разъем для модуля DVB CAM;Разъем для модуля DVB CAM;int
Разъем под SD/SDHC/SDXC;Разъем под SD/SDHC/SDXC;int
Серия;Серия;str
Смартфон в качестве пульта ДУ;Смартфон в качестве пульта ДУ;str
Стандарт DVB-C;Стандарт DVB-C;str
Стандарт DVB-C2;Стандарт DVB-C2;str
Стандарт DVB-S;Стандарт DVB-S;str
Стандарт DVB-S2;Стандарт DVB-S2;str
Стандарт DVB-T;Стандарт DVB-T;str
Стандарт DVB-T2;Стандарт DVB-T2;str
Технология HDMI ARC;Технология HDMI ARC;str
Технология HDR;Технология HDR;str
Технология NFC;Технология NFC;str
Технология OLED;Технология OLED;str
Технология QLED;Технология QLED;str
Технология экрана;Технология экрана;str
Тип батарей пульта ДУ;Тип батарей пульта ДУ;str
Тип дистанционного управления;Тип дистанционного управления;str
Тип крепления к подвесу;Тип крепления к подвесу;str
Тип технологии HDR;Тип технологии HDR;str
Цвет;Цвет;str
Цифровое шумоподавление;Цифровое шумоподавление;str
Цифровой тюнер DVB;Цифровой тюнер DVB;str
Частота обновления;Частота обновления;int
Ширина подставки;Ширина подставки;str
