Встроенная память (ROM);Встроенная память (ROM);str
Максимальная скорость чтения до;Максимальная скорость чтения до;int
Максимальная скорость записи до;Максимальная скорость записи до;int
Выдвижной разъем USB;Выдвижной разъем USB;str
Интерфейс подключения;Интерфейс подключения;str
Тип штекера;Интерфейс подключения;str
Цвет;Цвет;str
Высота;Высота;str
Ширина;Ширина;str
Глубина;Глубина;str
Вес;Вес;str
Страна;Страна;str
Серия;Серия;str
Интерфейс связи с ПК;Интерфейс подключения;str
Длина;Длина;str
Индикация чтения;Индикация чтения;str
Индикация записи;Индикация записи;str
Водоустойчивый корпус;Водоустойчивый корпус;str
Поддержка Wi-Fi;Поддержка Wi-Fi;str
Количество разъемов Lightning;Количество разъемов Lightning;int
