Страна;Страна;str
Серия;Серия;str
Тип весов;Тип весов;str
Максимальный вес;Максимальный вес;int
Измерение по 4 датчикам;Измерение по 4 датчикам;str
Погрешность;Погрешность;int
Память измерения веса;Память измерения веса;str
Память предыдущего взвешивания;Память предыдущего взвешивания;str
Измерение уровня подкожного жира;Измерение уровня подкожного жира;str
Измерение уровня воды в организме;Измерение уровня воды в организме;str
Измерение костной массы;Измерение костной массы;str
Ввод данных о человеке;Ввод данных о человеке;str
Расчет ежедневной нормы калорий;Расчет ежедневной нормы калорий;str
Автоматическое определение пользователя по весу;Автоматическое определение пользователя по весу;str
Автоматическое включение;Автоматическое включение;str
Автоматическое выключение;Автоматическое выключение;str
Измерение скорости обмена веществ;Измерение скорости обмена веществ;str
Измерение метаболического возраста;Измерение метаболического возраста;str
Измерение уровня висцерального жира;Измерение уровня висцерального жира;str
Измерение мышечной массы;Измерение мышечной массы;str
Смарт-анализатор тела;Смарт-анализатор тела;str
Тип дисплея;Тип дисплея;str
Встроенный модуль Bluetooth;Встроенный модуль Bluetooth;int
Синхронизация с iPhone/iPad;Синхронизация с iPhone/iPad;str
Совместимость;Совместимость;str
Тип управления;Тип управления;str
Мобильное приложение;Мобильное приложение;str
Индикация перегрузки;Индикация перегрузки;str
Материал;Материал;str
Прорезиненные ножки;Прорезиненные ножки;str
Батареи в комплекте;Батареи в комплекте;str
Тип используемых батарей;Тип используемых батарей;str
Цвет;Цвет;str
Высота;Высота;str
Глубина;Глубина;int
Ширина;Ширина;int
Вес;Вес;str
Вычисление индекса массы тела BMI;Вычисление индекса массы тела BMI;str
Индикация разрядки батарей;Индикация разрядки батарей;str
Материал платформы;Материал платформы;str
Материал корпуса;Материал корпуса;str
Цена деления;Цена деления;int
Определение типа телосложения;Определение типа телосложения;str
Монитор сердечного ритма;Монитор сердечного ритма;str
Встроенный модуль Wi-Fi;Встроенный модуль Wi-Fi;str
Вставки против скольжения;Вставки против скольжения;str
Подсветка платформы;Подсветка платформы;str
Сенсорный экран;Сенсорный экран;str
Измерение количества килокалорий;Измерение количества килокалорий;str
Индикатор уровня зарядки;Индикатор уровня зарядки;str
Сброс веса тары;Сброс веса тары;str
Измерение объема;Измерение объема;str
Последовательное взвешивание;Последовательное взвешивание;str
Количество цифровых дисплеев;Количество цифровых дисплеев;int
Батареи;Батареи;str
Электронное управление;Электронное управление;str
Сенсорное управление;Сенсорное управление;str
Сенсорная панель управления;Сенсорная панель управления;str
Минимальный вес;Минимальный вес;str
Объем чаши;Объем чаши;str
Съемная чаша;Съемная чаша;str
Материал чаши;Материал чаши;str
Перевод граммов в унции;Перевод граммов в унции;str
Петля для подвешивания;Петля для подвешивания;str
