Страна;Страна;str
Тип карты памяти;Тип карты памяти;str
Объем карты памяти;Объем карты памяти;int
Класс карты памяти;Класс карты памяти;int
Интерфейс шины данных;Интерфейс шины данных;str
Максимальная скорость передачи данных;Максимальная скорость передачи данных;str
Серия;Серия;str
Адаптер на SD;Адаптер на SD;str
Максимальная скорость записи до;Максимальная скорость записи до;int
Максимальная скорость чтения до;Максимальная скорость чтения до;int
Выдвижной язычок защиты;Выдвижной язычок защиты;str
Кардридер в комплекте;Кардридер в комплекте;str
