Страна;Страна;str;Китай
Серия;Серия;str;HPK
Модель;Модель;str;MK470
Проводная клавиатура;Проводная клавиатура;str;Да
Тип клавиш;Тип клавиш;str;мембранные
Тип переключателей;Тип переключателей;str;Gateron Yellow
Цвет русской раскладки (ЙЦУКЕН);Цвет русской раскладки (ЙЦУКЕН);str;белый
Цвет английской раскладки (QWERTY);Цвет английской раскладки (QWERTY);str;белый
Цвет игровых клавиш;Цвет игровых клавиш;str;черный
Наличие клавиш Windows;Наличие клавиш Windows;str;Да
Блокировка клавиатуры;Блокировка клавиатуры;str;ручная
Подсветка кнопок;Подсветка кнопок;str;RGB
Количество клавиш;Количество клавиш;int;104
Брызгозащитный корпус;Брызгозащитный корпус;str;Да
Материал корпуса;Материал корпуса;str;пластик
Максимальная частота опроса USB шины;Максимальная частота опроса USB шины;int;1000
Интерфейс связи с ПК;Интерфейс связи с ПК;str;USB 2.0
Длина кабеля;Длина кабеля;str;1.5
Цвет;Цвет;str;графит
Высота;Высота;str;1.3
Ширина;Ширина;int;44
Глубина;Глубина;str;12.9
Вес (клавиатура);Вес (клавиатура);int;558
Срок службы;Срок службы;str;1 год
Проводная мышь;Проводная мышь;str;Да
Количество кнопок (мышь);Количество кнопок (мышь);int;3
Дизайн корпуса мыши;Дизайн корпуса мыши;str;для правой руки
Цвет подсветки;Цвет подсветки;str;многоцветная
Частотный диапазон (наушники);Частотный диапазон (наушники);str;20 Гц - 20 кГц
Подсветка клавиш;Подсветка клавиш;str;Да
Акустический тип;Акустический тип;str;закрытый
Встроенный микрофон;Встроенный микрофон;str;Да
Количество встроенных микрофонов;Количество встроенных микрофонов;int;1
Тип подключения наушников;Тип подключения наушников;str;проводной
Интерфейс связи с ПК (клавиатура);Интерфейс связи с ПК (клавиатура);str;USB 2.0
Штекер 3.5 мм;Штекер 3.5 мм;int;1
Программное обеспечение;Программное обеспечение;str;на сайте производителя
Длина кабеля USB;Длина кабеля USB;str;1.5
Микрофон;Микрофон;str;Да
Цвет клавиатуры;Цвет клавиатуры;str;черный
Габаритные размеры клавиатуры (В*Ш*Г);Габаритные размеры клавиатуры (В*Ш*Г);str;2,1*37,4*14,4 см
Вес;Вес;int;483
Тип клавиатуры;Тип клавиатуры;str;QWERTY/ЙЦУКЕН
Тип беспроводной клавиатуры;Тип беспроводной клавиатуры;str;радио
Рабочее расстояние;Рабочее расстояние;str;до 10 метров
Индикация включения;Индикация включения;str;Да
Тип используемых батарей;Тип используемых батарей;str;2 x AAA (LR03)
Приемный блок в комплекте;Приемный блок в комплекте;str;Да
Тип;Тип;str;проводной
Беспроводная клавиатура;Беспроводная клавиатура;str;в комплекте
Отсек для приемного блока (мышь);Отсек для приемного блока (мышь);str;Да
Индикация разрядки батарей (клавиатура);Индикация разрядки батарей (клавиатура);str;Да
Тип мыши;Тип мыши;str;оптическая
Тип беспроводной мыши;Тип беспроводной мыши;str;радио
Радиус действия;Радиус действия;int;10
Беспроводная мышь;Беспроводная мышь;str;Да
Скроллер (мышь);Скроллер (мышь);str;Да
Оптическое разрешение;Оптическое разрешение;str;1000 т/д
Интерфейс приемного блока;Интерфейс приемного блока;str;USB 2.0
Интерфейс связи с ПК (мышь);Интерфейс связи с ПК (мышь);str;USB 2.0
Интерфейс подключения;Интерфейс подключения;str;радио
Работа от батареи (мышь);Работа от батареи (мышь);str;до 18 месяцев
Тип используемой батареи (мышь);Тип используемой батареи (мышь);str;1 x AA (LR 6)
Тип используемой батареи (клавиатура);Тип используемой батареи (клавиатура);str;2 x AAA (LR03)
Вес (мышь);Вес (мышь);int;100
Большая клавиша Enter;Большая клавиша Enter;str;Да
Подавление фантомных нажатий;Подавление фантомных нажатий;str;Да
Индикация Caps Lock;Индикация Caps Lock;str;Да
Индикация  Num Lock;Индикация  Num Lock;str;Да
Тканевая оплетка кабеля;Тканевая оплетка кабеля;str;Да
Скроллер;Скроллер;str;Да
Частотный диапазон (микрофон);Частотный диапазон (микрофон);str;20 Гц - 20 кГц
Чувствительность;Чувствительность;int;110
Диаграмма направленности;Диаграмма направленности;str;однонаправленный
Сопротивление микрофона;Сопротивление микрофона;int;32
Регулировка громкости;Регулировка громкости;str;Да
Материал;Материал;str;пластик
Материал амбушюров;Материал амбушюров;str;кожзаменитель
Материал оголовника;Материал оголовника;str;искусственная кожа
Подставка для кистей рук;Подставка для кистей рук;str;Да
Работа от батареи (клавиатура);Работа от батареи (клавиатура);str;Да
Батареи в комплекте;Батареи в комплекте;str;Да
Цвет мыши;Цвет мыши;str;черный
Габаритные размеры мыши (В*Ш*Г);Габаритные размеры мыши (В*Ш*Г);str;2,6*5,9*10,7 см
Программируемые клавиши (шт);Программируемые клавиши (шт);int;6
Сила нажатия;Сила нажатия;int;50
Время отклика;Время отклика;int;1
Покрытие разъемов;Покрытие разъемов;str;никел. сталь
Сменные игровые клавиши;Сменные игровые клавиши;int;4
Батареи;Батареи;str;в комплекте
Клавиш MultiMedia;Клавиш MultiMedia;int;12
Важная особенность;Важная особенность;str;Бандл с настольным микрофоном
Поворотные чашки;Поворотные чашки;str;Да
Использование в качестве гарнитуры;Использование в качестве гарнитуры;str;Да
Шумоподавление;Шумоподавление;str;Да
Количество каналов звука;Количество каналов звука;str;2.0/7.1
Чувствительность микрофона;Чувствительность микрофона;str;-42
Съемный микрофон;Съемный микрофон;str;Да
Тип подключения;Тип подключения;str;проводной
Дальность (в помещении);Дальность (в помещении);int;10
Кабель USB;Кабель USB;str;встроенный
