Страна;Страна;str
Длина кабеля-удлиннителя;Длина кабеля-удлиннителя;str
Пар амбушюров в комплекте;Пар амбушюров в комплекте;int
Вход 3.5 мм аудио (количество);Вход 3.5 мм аудио (количество);int
Выход 3.5 мм аудио;Выход 3.5 мм аудио;int
Количество встроенных микрофонов;Количество встроенных микрофонов;int
Порт microUSB 2.0;Порт microUSB 2.0;int
Штекер 3.5 мм;Разъем для наушников 3.5 мм;int
Разъем для наушников 3.5 мм;Разъем для наушников 3.5 мм;int
Разъем для наушников 6.3 мм;Разъем для наушников 6.3 мм;int
Разъем 3.5 мм;Разъем для наушников 3.5 мм;int
Вход RCA аудио;Вход RCA аудио;int
Выход RCA аудио;Выход RCA аудио;int
Балансный аудиопорт 2.5 мм;Балансный аудиопорт 2.5 мм;int
Разъем для микрофона 3.5 мм;Разъем для микрофона 3.5 мм;int
Разъем Line-Out;Разъем Line-Out;int
Разъем под SD/SDHC;Разъем под SD/SDHC;int
Вход оптический (Toslink);Вход оптический (Toslink);int
Выход оптический (Toslink);Выход оптический (Toslink);int
Выход XLR аудио;Выход XLR аудио;int
Вход коаксиальный цифровой;Вход коаксиальный цифровой;int
Выход коаксиальный цифровой;Выход коаксиальный цифровой;int
Амбушюров в комплекте;Амбушюров в комплекте;str
Длина кабеля;Длина кабеля;str
Дальность (в помещении);Дальность (в помещении);int
Глубина;Глубина;str
Высота;Высота;int
Частота дискретизации;Частота дискретизации;int
Количество каналов звука;Количество каналов звука;int
Частотный диапазон;Частотный диапазон;str
Время в режиме ожидания;Время в режиме ожидания;int
Толщина;Толщина;int
Ширина;Ширина;int
Сопротивление;Сопротивление;int
Емкость аккумулятора;Емкость аккумулятора;int
Встроенная память (ROM);Встроенная память (ROM);str
Встроенный модуль Bluetooth;Встроенный модуль Bluetooth;str
Версия Bluetooth;Встроенный модуль Bluetooth;str
Диаметр динамика;Диаметр динамика;int
Чувствительность;Чувствительность;int
Рабочая частота;Рабочая частота;str
Вес;Вес;int
Серия;Серия;str
Класс водонепроницаемости;Класс водонепроницаемости;str
Модель;Модель;str
Тип кабеля в комплекте 1;Кабель USB;str
Кабель USB;Кабель USB;str
Цвет;Цвет;str
Тип подключения наушников;Тип подключения наушников;str
Чехол для переноски;Чехол для переноски;str
Кабель аудио 3.5 мм - 3.5 мм;Кабель аудио 3.5 мм - 3.5 мм;str
Тип наушников;Тип наушников;str
Тип аккумулятора;Тип аккумулятора;str
Встроенный микрофон;Встроенный микрофон;str
Использование в качестве гарнитуры;Использование в качестве гарнитуры;str
Управление воспроизведением;Управление воспроизведением;str
Зарядка от USB порта;Зарядка от USB порта;str
Быстрая зарядка;Быстрая зарядка;str
Микрофон;Микрофон;str
Кабель для зарядки;Кабель для зарядки;str
Брызгозащитный корпус;Брызгозащитный корпус;str
Система активного подавления шума;Система активного подавления шума;str
Беспроводная зарядка;Беспроводная зарядка;str
Шумоподавление;Шумоподавление;str
Регулировка громкости;Регулировка громкости;str
Складной оголовник;Складной оголовник;str
Аудиокабель;Аудиокабель;str
Разъем micro USB;Разъем micro USB;str
Поворотные чашки;Поворотные чашки;str
Переходник 3.5 мм / 6.3 мм;Переходник 3.5 мм / 6.3 мм;str
Технология NFC;Технология NFC;str
Использование с беспроводной зарядкой;Использование с беспроводной зарядкой;str
Индикация включения;Индикация включения;str
Передача стерео звука;Передача стерео звука;str
Переключатель питания;Переключатель питания;str
Разрядки аккумулятора;Разрядки аккумулятора;str
Разъем microSD;Разъем microSD;str
Индикация разрядки батарей;Индикация разрядки батарей;str
Водоустойчивый корпус;Водоустойчивый корпус;str
Функция USB DAC;Функция USB DAC;str
Встроенный аккумулятор;Встроенный аккумулятор;str
Дальность (открытого пространства);Дальность (открытого пространства);str
Время в режиме разговора;Время в режиме разговора;str
Время зарядки аккумулятора;Время зарядки аккумулятора;str
Работа от аккумулятора;Работа от аккумулятора;str
Акустический тип наушников;Акустический тип наушников;str
Акустический тип;Акустический тип;str
Тип крепления;Тип крепления;str
Материал амбушюров;Материал амбушюров;str
Материал корпуса;Материал корпуса;str
Система шумоподавления;Система шумоподавления;str
Материал чехла;Материал чехла;str
Материал;Материал;str
Тип подключения;Тип подключения;str
Тип корпуса;Тип корпуса;str
