Страна;Страна;str;Китай
Диагональ/разрешение;>=>2<Диагональ>Разрешение экрана;str;"14""/1366x768 пикс."
Ширина;>=>4<Высота>Ширина>Глубина>Габаритные размеры (В*Ш*Г)>[{} {} {}];int;220
Высота;>=>4<Высота>Ширина>Глубина>Габаритные размеры (В*Ш*Г)>[{} {} {}];int;20
Глубина;>=>4<Высота>Ширина>Глубина>Габаритные размеры (В*Ш*Г)>[{} {} {}];int;330
DisplayPort;DisplayPort;int;1
LAN разъем (RJ45);LAN разъем (RJ45);int;1
Mini DisplayPort;Mini DisplayPort;int;1
Версия Bluetooth;Версия Bluetooth;int;4
Вес;Вес;str;44682
Вход HDMI;Вход HDMI;int;1
Выход D-Sub видео;Выход D-Sub видео;int;1
Выход HDMI;Выход HDMI;int;1
Габаритные размеры (В*Ш*Г);Габаритные размеры (В*Ш*Г);str;20*220*330 мм
Глянцевый экран;Глянцевый экран;str;Да
Графический контроллер;Графический контроллер;str;Intel HD Graphics 600
Датчик отпечатков пальцев;Датчик отпечатков пальцев;str;Да
Диагональ экрана;Диагональ экрана;str;"14""(37 см)"
Емкость аккумулятора;Емкость аккумулятора;int;4500
Количество портов USB 3.0 тип A;Количество портов USB 3.0 тип A;int;2
Количество портов USB 3.0 тип C;Количество портов USB 3.0 тип C;int;2
Количество портов USB 3.1 тип A;Количество портов USB 3.1 тип A;int;2
Количество портов USB 3.1 тип C;Количество портов USB 3.1 тип C;int;1
Количество слотов памяти;Количество слотов памяти;int;1
Количество ядер;Количество ядер;int;2
Максимальная оперативная память;Максимальная оперативная память;int;8
Материал корпуса;Материал корпуса;str;пластик
Матовый экран;Матовый экран;str;Да
Модель;Модель;str;Echips Lite NB142E-H
Объем eMMC;Объем eMMC;str;128 ГБ
Объем HDD;Объем HDD;str;1 ТБ
Объем SSD;Объем SSD;str;240 ГБ
Объем видеопамяти;Объем видеопамяти;int;4
Объем гибридного SSHD;Объем гибридного SSHD;int;0
Оперативная память (RAM);Оперативная память (Гб);int;8
Операционная система;Операционная система;str;Windows 10 Pro
Поддержка 4G LTE;Поддержка 4G LTE;str;Да
Поддержка 5G;Поддержка 5G;str;Да
Поддержка Gigabit LAN;Поддержка Gigabit LAN;str;Да
Поддержка Wi-Fi;Поддержка Wi-Fi;str;802.11 n
Подсветка клавиш;Подсветка клавиш;str;Да
Порт USB 2.0 тип A;Порт USB 2.0 тип A;int;2
Порт USB 2.0 тип C;Порт USB 2.0 тип C;int;1
Порт USB 3.1 тип C / Thunderbolt 3;Порт USB 3.1 тип C / Thunderbolt 3;int;2
Порт USB 3.2 тип A;Порт USB 3.2 тип A;int;1
Порт USB 3.2 тип C;Порт USB 3.2 тип C;int;1
Порт USB 4 тип A;Порт USB 4 тип A;int;2
Порт USB 4 тип C / Thunderbolt 4;Порт USB 4 тип C / Thunderbolt 4;int;3
Порт USB Type-С;Порт USB Type-С;int;1
Производитель видеопроцессора;Производитель видеопроцессора;str;Intel
Процессор;Процессор;str;Intel Celeron Intel Celeron J4005 2.0 Ghz (Up to 2.7 Ghz) 2.7 ГГц
Работа от аккумулятора;Работа от аккумулятора;str;до 5 часов
Разъем micro HDMI;Разъем micro HDMI;int;1
Разъем mini HDMI;Разъем mini HDMI;int;1
Разъем для микрофона 3.5 мм;Разъем для микрофона 3.5 мм;int;1
Разъем для наушников 3.5 мм;Разъем для наушников 3.5 мм;int;1
Разъем для наушников/микрофона 3.5мм;Разъем для наушников/микрофона 3.5мм;int;1
Разъем карт памяти;Разъем карт памяти;str;microSD
Сенсорный экран;Сенсорный экран;str;Да
Серия;Серия;str;Lite
Стилус;Стилус;str;Да
Технология NFC;Технология NFC;str;Да
Технология экрана;Технология экрана;str;TN + film
Тип оперативной памяти;Тип оперативной памяти;str;DDR4
Цвет;Цвет;str;серый
Частота обновления;Частота обновления;int;60
Частота памяти;Частота памяти;int;2666
