Страна;Страна;str;Робот-пылесос
Автоматический поиск зарядного устройства;Автоматический поиск зарядного устройства;str;Робот-пылесос
Батареи пульта ДУ;Батареи пульта ДУ;str;Робот-пылесос
Боковая щеточка;Боковая щеточка;str;Робот-пылесос
Вес;Вес;str;Робот-пылесос
Влажная уборка;Влажная уборка;str;Робот-пылесос
Возобновление уборки с прерванного участка;Возобновление уборки с прерванного участка;str;Робот-пылесос
Время зарядки аккумулятора;Время зарядки аккумулятора;str;Робот-пылесос
Габаритные размеры (В*Ш*Г);Габаритные размеры (В*Ш*Г);str;Робот-пылесос
Голосовые оповещения;Голосовые оповещения;str;Робот-пылесос
Датчик определения ступенек;Датчик определения ступенек;str;Робот-пылесос
Емкость аккумулятора;Емкость аккумулятора;int;Робот-пылесос
Емкость контейнера базовой станции;Емкость контейнера базовой станции;str;Робот-пылесос
Зарядка от сети 220 В;Зарядка от сети 220 В;str;Робот-пылесос
Зарядное устройство;Зарядное устройство;str;Робот-пылесос
Звуковой сигнал;Звуковой сигнал;str;Робот-пылесос
Индикация включения;Индикация включения;str;Робот-пылесос
Индикация застревания;Индикация застревания;str;Робот-пылесос
Индикация режима работы;Индикация режима работы;str;Робот-пылесос
Индикация степени зарядки;Индикация степени зарядки;str;Робот-пылесос
Количество насадок;Количество насадок;int;Робот-пылесос
Количество режимов работы;Количество режимов работы;int;Робот-пылесос
Максимальный уровень шума;Максимальный уровень шума;int;Робот-пылесос
Материал корпуса;Материал корпуса;str;Робот-пылесос
Модель;Модель;str;Робот-пылесос
Моторный фильтр;Моторный фильтр;str;Робот-пылесос
Мягкий бампер;Мягкий бампер;str;Робот-пылесос
Насадка из микрофибры;Насадка из микрофибры;str;Робот-пылесос
Объем контейнера для пыли;Объем контейнера для пыли;int;Робот-пылесос
Объем пылесборника;Объем пылесборника;int;Робот-пылесос
Объем резервуара для воды;Объем резервуара для воды;str;Робот-пылесос
Отключение при перегреве;Отключение при перегреве;str;Робот-пылесос
Отложенный старт;Отложенный старт;str;Робот-пылесос
Площадка для насадки из микрофибры;Площадка для насадки из микрофибры;str;Робот-пылесос
Поддержка Wi-Fi;Поддержка Wi-Fi;str;Робот-пылесос
Поддержка ОС;Поддержка ОС;str;Робот-пылесос
Подставка-зарядное ус-во;Подставка-зарядное ус-во;str;Робот-пылесос
Полностью автоматическая уборка;Полностью автоматическая уборка;str;Робот-пылесос
Пульт ДУ;Пульт ДУ;str;Робот-пылесос
Работа от аккумулятора;Работа от аккумулятора;str;Робот-пылесос
"Режим ""уборка вдоль стены""";"Режим ""уборка вдоль стены""";str;Робот-пылесос
"Режим ""уборка зигзагом""";"Режим ""уборка зигзагом""";str;Робот-пылесос
"Режим ""уборка по спирали""";"Режим ""уборка по спирали""";str;Робот-пылесос
Режим ''быстрая уборка'';Режим ''быстрая уборка'';str;Робот-пылесос
Режим ''местная уборка '';Режим ''местная уборка '';str;Робот-пылесос
Режим ''обычная уборка'';Режим ''обычная уборка'';str;Робот-пылесос
Режим ''пятно'';Режим ''пятно'';str;Робот-пылесос
Самодиагностика неисправностей;Самодиагностика неисправностей;str;Робот-пылесос
Серия;Серия;str;Робот-пылесос
Смартфон в качестве пульта ДУ;Смартфон в качестве пульта ДУ;str;Робот-пылесос
Составление плана помещения;Составление плана помещения;str;Робот-пылесос
Сухая уборка;Сухая уборка;str;Робот-пылесос
Съемный резервуар д/воды;Съемный резервуар д/воды;str;Робот-пылесос
Съемный резервуар для чистящего средства;Съемный резервуар для чистящего средства;str;Робот-пылесос
Таймер включения;Таймер включения;str;Робот-пылесос
Таймер на каждый день недели;Таймер на каждый день недели;str;Робот-пылесос
Тип аккумулятора;Тип аккумулятора;str;Робот-пылесос
Тип батарей пульта ДУ;Тип батарей пульта ДУ;str;Робот-пылесос
Тип пылесборника;Тип пылесборника;str;Робот-пылесос
Тип управления;Тип управления;str;Робот-пылесос
Турборежим;Турборежим;str;Робот-пылесос
Ударопрочный корпус;Ударопрочный корпус;str;Робот-пылесос
Установка на зарядное устройство;Установка на зарядное устройство;str;Робот-пылесос
Фильтр HEPA;Фильтр HEPA;str;Робот-пылесос
Цвет;Цвет;str;Робот-пылесос
Циклоническая система;Циклоническая система;str;Робот-пылесос
