Мвидео;;
Основная камера МПикс;>=>1<Основная камера Мпикс>Модуль камер;str
Экран;>=>2<Диагональ>Разрешение экрана;str
SIM карта;SIM карта;str
Беспроводная зарядка;Беспроводная зарядка;str
Поддержка беспроводной зарядки;Беспроводная зарядка;str
Блок питания;Блок питания;str
Бренд;Бренд;str
Вес;Вес (г);int
Время в режиме ожидания;Время в режиме ожидания (ч);int
Время в режиме разговора;Время в режиме разговора (ч);int
Вспышка;Вспышка;str
Встроенная память (ROM);Встроенная память (Гб);int
Встроенный модуль Bluetooth;Встроенный модуль Bluetooth;str
Габаритные размеры (В*Ш*Г);Габаритные размеры (В*Ш*Г);str
Диагональ;Диагональ;str
Емкость аккумулятора;Емкость аккумулятора (мАч);int
Количество основных камер;Количество основных камер;int
Количество фронтальных камер;Количество фронтальных камер;int
Количество ядер;Количество ядер;int
Максимальная емкость карты памяти;Максимальная емкость карты памяти (Гб);int
Материал корпуса;Материал корпуса;str
Модель;Модель;str
Мощность блока питания;Мощность блока питания (Вт);int
Оперативная память (RAM);Оперативная память (Гб);int
Операционная система;Операционная система;str
Оптическая стабилизация;Оптическая стабилизация;str
Поддержка eSIM;Поддержка eSIM;str
Поддержка GPS;Поддержка GPS;str
Поддержка Wi-Fi;Поддержка Wi-Fi;str
Поддержка быстрой зарядки;Поддержка быстрой зарядки;str
Поддержка ГЛОНАСС;Поддержка ГЛОНАСС;str
Поддержка стандартов;Поддержка стандартов;str
Порт USB;Порт USB;str
Процессор;Процессор;str
Тип процессора;Процессор;str
Разрешение видеосъемки;Разрешение видеосъемки;str
Разъем для наушников;Разъем для наушников;str
Сенсор распознавания лица;Сенсор распознавания лица;str
Серия;Серия;str
Сканер отпечатка пальца на боковой грани;Сканер отпечатка пальца на боковой грани;str
Сканер отпечатка пальца на задней панели;Сканер отпечатка пальца на задней панели;str
Сканер отпечатка пальца на передней панели;Сканер отпечатка пальца на передней панели;str
Сканер отпечатка пальца под экраном;Сканер отпечатка пальца под экраном;str
Страна;Страна;str
Технология NFC;Технология NFC;str
Технология экрана;Технология экрана;str
Тип карты памяти;Тип карты памяти;str
Фронтальная камера МПикс;Фронтальная камера (Мпикс);int
Цвет;Цвет;str
Цифровая стабилизация;Цифровая стабилизация;str
Частота обновления;Частота обновления (Гц);int
Яркость;Яркость (кд/кв.м);int
Модуль камер;Модуль камер;str
Разрешение экрана;Разрешение экрана;str
