Страна;Страна;str
Серия;Серия;str
Номинальная мощность;Номинальная мощность;int
Мощность при блокировке мотора;Мощность при блокировке мотора;int
Производительность мясорубки;Производительность мясорубки;str
Количество скоростей;Количество скоростей;int
Реверс;Реверс;str
Количество насадок;Количество насадок;int
Насадка для приготовления колбасы;Насадка для приготовления колбасы;str
Материал лотка;Материал лотка;str
Материал ножа;Материал ножа;str
Материал корпуса;Материал корпуса;str
Полностью разборная камера подачи мяса;Полностью разборная камера подачи мяса;str
Ручка для перемещения;Ручка для перемещения;str
Прорезиненные ножки;Прорезиненные ножки;str
Съемный нож;Съемный нож;str
Отключение при перегреве;Отключение при перегреве;str
Остановка при попадании твёрдых частиц;Остановка при попадании твёрдых частиц;str
Цвет;Цвет;str
Вес;Вес;str
Высота;Высота;int
Ширина;Ширина;int
Глубина;Глубина;int
Габаритные размеры (В*Ш*Г);Габаритные размеры (В*Ш*Г);str
Насадка для приготовления сосисок;Насадка для приготовления сосисок;str
Материал шнека;Материал шнека;str
Срок службы;Срок службы;str
Терка;Терка;int
Шинковка;Шинковка;int
Насадка кеббе;Насадка кеббе;str
Отсек для насадок;Отсек для насадок;str
Кожух для защиты от брызг;Кожух для защиты от брызг;str
Крышка-лоток;Крышка-лоток;str
Максимальный уровень шума;Максимальный уровень шума;int
Индикация режима работы;Индикация режима работы;str
Материал ручки;Материал ручки;str
Нарезка (барабан);Нарезка (барабан);int
Диск терка/шинковка;Диск терка/шинковка;int
Насадка-овощерезка;Насадка-овощерезка;str
Насадка для нарезки кубиками;Насадка для нарезки кубиками;int
Насадка-соковыжималка;Насадка-соковыжималка;str
Пресс для цитрусовых;Пресс для цитрусовых;str
